Diagnosis_code,Diagnosis_description
N4601,Organic azoospermia
V828,Occupant of streetcar injured in other specified transport accidents
S63211D,"Subluxation of metacarpophalangeal joint of left index finger, subsequent encounter"
V0199,"Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident"
S04039A,"Injury of optic tract and pathways, unspecified eye, initial encounter"
N602,Fibroadenosis of breast
S7811,null
M62159,"Other rupture of muscle (nontraumatic), unspecified thigh"
N99518,Other cystostomy complication
S43139,"Dislocation of unspecified acromioclavicular joint, greater than 200% displacement"
Y92480,Sidewalk as the place of occurrence of the external cause
B189,"Chronic viral hepatitis, unspecified"
S55202D,"Unspecified injury of vein at forearm level, left arm, subsequent encounter"
O9A5,"Psychological abuse complicating pregnancy, childbirth and the puerperium"
M6511,"Other infective (teno)synovitis, shoulder"
T50991D,"Poisoning by other drugs, medicaments and biological substances, accidental (unintentional), subsequent encounter"
S62034,Nondisplaced fracture of proximal third of navicular [scaphoid] bone of right wrist
M40203,"Unspecified kyphosis, cervicothoracic region"
S52243D,"Displaced spiral fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with routine healing"
S15391A,"Other specified injury of right internal jugular vein, initial encounter"
S52342K,"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion"
O770,Labor and delivery complicated by meconium in amniotic fluid
N9481,Vulvodynia
V416XXA,"Car passenger injured in collision with pedal cycle in traffic accident, initial encounter"
T85868A,"Thrombosis due to other internal prosthetic devices, implants and grafts, initial encounter"
S9205,Other extraarticular fracture of calcaneus
S5491XD,"Injury of unspecified nerve at forearm level, right arm, subsequent encounter"
T595X3A,"Toxic effect of fluorine gas and hydrogen fluoride, assault, initial encounter"
N643,Galactorrhea not associated with childbirth
L243,Irritant contact dermatitis due to cosmetics
T445X1D,"Poisoning by predominantly beta-adrenoreceptor agonists, accidental (unintentional), subsequent encounter"
S13180D,"Subluxation of C7/T1 cervical vertebrae, subsequent encounter"
S90511D,"Abrasion, right ankle, subsequent encounter"
T81505S,"Unspecified complication of foreign body accidentally left in body following heart catheterization, sequela"
S75202S,null
S62222G,"Displaced Rolando's fracture, left hand, subsequent encounter for fracture with delayed healing"
S7629,"Other injury of adductor muscle, fascia and tendon of thigh"
R301,Vesical tenesmus
S93439D,"Sprain of tibiofibular ligament of unspecified ankle, subsequent encounter"
O318X29,"Other complications specific to multiple gestation, second trimester, other fetus"
H7422,Discontinuity and dislocation of left ear ossicles
S52614H,"Nondisplaced fracture of right ulna styloid process, subsequent encounter for open fracture type I or II with delayed healing"
Z91040,Latex allergy status
V179XXS,"Unspecified pedal cyclist injured in collision with fixed or stationary object in traffic accident, sequela"
Y364,War operations involving firearm discharge and other forms of conventional warfare
S34114S,"Complete lesion of L4 level of lumbar spinal cord, sequela"
S37099,Other injury of unspecified kidney
Y270,"Contact with steam and hot vapors, undetermined intent"
S43215D,"Anterior dislocation of left sternoclavicular joint, subsequent encounter"
S92136A,"Nondisplaced fracture of posterior process of unspecified talus, initial encounter for closed fracture"
W9439,Exposure to other rapid changes in air pressure during descent
T28411S,"Burn of right ear drum, sequela"
M2631,Crowding of fully erupted teeth
S61311S,"Laceration without foreign body of left index finger with damage to nail, sequela"
O9123,Nonpurulent mastitis associated with lactation
S61541,Puncture wound with foreign body of right wrist
S63233D,"Subluxation of proximal interphalangeal joint of left middle finger, subsequent encounter"
S52692A,"Other fracture of lower end of left ulna, initial encounter for closed fracture"
T520X1D,"Toxic effect of petroleum products, accidental (unintentional), subsequent encounter"
M4625,"Osteomyelitis of vertebra, thoracolumbar region"
V2981,Motorcycle rider (driver) (passenger) injured in transport accident with military vehicle
S72499P,"Other fracture of lower end of unspecified femur, subsequent encounter for closed fracture with malunion"
O99213,null
Y37430A,"Military operations involving other firearms discharge, military personnel, initial encounter"
S3803XD,"Crushing injury of vulva, subsequent encounter"
I63413,Cerebral infarction due to embolism of bilateral middle cerebral arteries
S61326A,"Laceration with foreign body of right little finger with damage to nail, initial encounter"
S82016N,"Nondisplaced osteochondral fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
O1224,"Gestational edema with proteinuria, complicating childbirth"
S86322S,"Laceration of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, sequela"
S86312D,"Strain of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, subsequent encounter"
S72033P,"Displaced midcervical fracture of unspecified femur, subsequent encounter for closed fracture with malunion"
T8119XA,"Other postprocedural shock, initial encounter"
T22261,Burn of second degree of right scapular region
V129,Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in traffic accident
M85162,"Skeletal fluorosis, left lower leg"
S86391S,"Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg, sequela"
S52136A,"Nondisplaced fracture of neck of unspecified radius, initial encounter for closed fracture"
M1A221,null
T288,Corrosion of internal genitourinary organs
T391X4D,"Poisoning by 4-Aminophenol derivatives, undetermined, subsequent encounter"
S36539D,"Laceration of unspecified part of colon, subsequent encounter"
M84632K,"Pathological fracture in other disease, left ulna, subsequent encounter for fracture with nonunion"
E31,Polyglandular dysfunction
S62164K,"Nondisplaced fracture of pisiform, right wrist, subsequent encounter for fracture with nonunion"
S92002A,"Unspecified fracture of left calcaneus, initial encounter for closed fracture"
S32041,Stable burst fracture of fourth lumbar vertebra
H44649,"Retained (old) magnetic foreign body in posterior wall of globe, unspecified eye"
S68618,Complete traumatic transphalangeal amputation of other finger
O23599,"Infection of other part of genital tract in pregnancy, unspecified trimester"
S60463,Insect bite (nonvenomous) of left middle finger
S36899D,"Unspecified injury of other intra-abdominal organs, subsequent encounter"
V3940XD,"Driver of three-wheeled motor vehicle injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
A5481,null
T673XXA,"Heat exhaustion, anhydrotic, initial encounter"
H05221,Edema of right orbit
V9350XS,"Explosion on board merchant ship, sequela"
S92011A,"Displaced fracture of body of right calcaneus, initial encounter for closed fracture"
Q06,Other congenital malformations of spinal cord
M21219,"Flexion deformity, unspecified shoulder"
S60572D,"Other superficial bite of hand of left hand, subsequent encounter"
O9A11,Malignant neoplasm complicating pregnancy
S52044B,"Nondisplaced fracture of coronoid process of right ulna, initial encounter for open fracture type I or II"
