Procedure_code,Procedure_description
06S84ZZ,"Reposition Portal Vein, Percutaneous Endoscopic Approach"
B217YZZ,Fluoroscopy of Right Internal Mammary Bypass Graft using Other Contrast
0RHT48Z,"Insertion of Spacer into Left Metacarpocarpal Joint, Percutaneous Endoscopic Approach"
041N0JL,null
F003GKZ,Communicative/Cognitive Integration Skills Assessment of Neurological System - Whole Body using Audiovisual Equipment
0C973ZZ,"Drainage of Tongue, Percutaneous Approach"
0QWB35Z,"Revision of External Fixation Device in Right Lower Femur, Percutaneous Approach"
0DHA03Z,"Insertion of Infusion Device into Jejunum, Open Approach"
3E0CXKZ,"Introduction of Other Diagnostic Substance into Eye, External Approach"
0RW13KZ,"Revision of Nonautologous Tissue Substitute in Cervical Vertebral Joint, Percutaneous Approach"
04900ZX,"Drainage of Abdominal Aorta, Open Approach, Diagnostic"
06110AB,"Bypass Splenic Vein to Left Renal Vein with Autologous Arterial Tissue, Open Approach"
F00ZS1Z,Distorted Speech Assessment using Audiometer
DP025ZZ,Beam Radiation of Maxilla using Neutrons
B40B0ZZ,Plain Radiography of Other Intra-Abdominal Arteries using High Osmolar Contrast
03U637Z,"Supplement Left Axillary Artery with Autologous Tissue Substitute, Percutaneous Approach"
0P9D40Z,"Drainage of Left Humeral Head with Drainage Device, Percutaneous Endoscopic Approach"
0CMWXZ0,"Reattachment of Upper Tooth, Single, External Approach"
07NK4ZZ,"Release Thoracic Duct, Percutaneous Endoscopic Approach"
041J4KP,"Bypass Left External Iliac Artery to Foot Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
0YQF3ZZ,"Repair Right Knee Region, Percutaneous Approach"
03LR0ZZ,"Occlusion of Face Artery, Open Approach"
0PB00ZX,"Excision of Sternum, Open Approach, Diagnostic"
0HUV7KZ,"Supplement Bilateral Breast with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
7W02X4Z,Osteopathic Treatment of Thoracic Region using Indirect Forces
F02Z8YZ,Anthropometric Characteristics Assessment using Other Equipment
0NU54KZ,"Supplement Right Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
DH040ZZ,null
BT39ZZZ,Magnetic Resonance Imaging (MRI) of Kidney Transplant
00XS4ZG,"Transfer Hypoglossal Nerve to Optic Nerve, Percutaneous Endoscopic Approach"
0HR3XK4,"Replacement of Left Ear Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0S5K3ZZ,"Destruction of Right Metatarsal-Tarsal Joint, Percutaneous Approach"
03QT0ZZ,"Repair Left Temporal Artery, Open Approach"
0SP034Z,"Removal of Internal Fixation Device from Lumbar Vertebral Joint, Percutaneous Approach"
0UBG3ZX,"Excision of Vagina, Percutaneous Approach, Diagnostic"
0SPM30Z,"Removal of Drainage Device from Right Metatarsal-Phalangeal Joint, Percutaneous Approach"
0M8W0ZZ,"Division of Left Lower Extremity Bursa and Ligament, Open Approach"
0TS04ZZ,"Reposition Right Kidney, Percutaneous Endoscopic Approach"
037G446,"Dilation of Intracranial Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
04SR3ZZ,"Reposition Right Posterior Tibial Artery, Percutaneous Approach"
0XQKXZZ,"Repair Left Hand, External Approach"
047Y356,"Dilation of Lower Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach"
0BJ1XZZ,"Inspection of Trachea, External Approach"
00DG0ZZ,"Extraction of Optic Nerve, Open Approach"
0FV97DZ,"Restriction of Common Bile Duct with Intraluminal Device, Via Natural or Artificial Opening"
047H446,null
0CWY77Z,"Revision of Autologous Tissue Substitute in Mouth and Throat, Via Natural or Artificial Opening"
03UY4KZ,"Supplement Upper Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021Q49A,"Bypass Right Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
0BU607Z,"Supplement Right Lower Lobe Bronchus with Autologous Tissue Substitute, Open Approach"
0X9F40Z,"Drainage of Left Lower Arm with Drainage Device, Percutaneous Endoscopic Approach"
0RP3X3Z,"Removal of Infusion Device from Cervical Vertebral Disc, External Approach"
0RWM4JZ,"Revision of Synthetic Substitute in Left Elbow Joint, Percutaneous Endoscopic Approach"
F0CZ1PZ,Perceptual Processing Treatment using Computer
3E0400P,"Introduction of Clofarabine into Central Vein, Open Approach"
0RUS3KZ,"Supplement Right Metacarpocarpal Joint with Nonautologous Tissue Substitute, Percutaneous Approach"
0MD00ZZ,null
0RGQ34Z,"Fusion of Right Carpal Joint with Internal Fixation Device, Percutaneous Approach"
06NG3ZZ,"Release Left External Iliac Vein, Percutaneous Approach"
041C49K,"Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
0NRS4KZ,"Replacement of Left Maxilla with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
05C64ZZ,"Extirpation of Matter from Left Subclavian Vein, Percutaneous Endoscopic Approach"
01D63ZZ,"Extraction of Radial Nerve, Percutaneous Approach"
06SQ0ZZ,"Reposition Left Greater Saphenous Vein, Open Approach"
0V1N07K,"Bypass Right Vas Deferens to Left Epididymis with Autologous Tissue Substitute, Open Approach"
0RQ63ZZ,"Repair Thoracic Vertebral Joint, Percutaneous Approach"
06NG3ZZ,null
0CRXX72,"Replacement of Lower Tooth, All, with Autologous Tissue Substitute, External Approach"
